Finnish-fi,Valence,Arousal,Dominance,English,Finnish-bf
aakkosellinen,0.074,-0.408,0.07,alphabetical,aakkosellinen
aakkoset,0.124,-0.592,0.344,alphabet,aakkonen
aallonmurtaja,0.204,-0.04,-0.094,jetty,aallonmurtaja
aallonpituus,0.208,-0.116,0.032,wavelength,aallonpituus
aallonpohja,-0.042,-0.274,-0.152,nadir,aallonpohja
aalto,0.244,-0.018,-0.02,wave,Aalto
aaltoileva,0.04,-0.432,-0.31,wavy,aaltoileva
aaltoilu,0.0,-0.04,-0.346,rippling,aaltoilu
aaltoviiva,0.04,-0.372,-0.358,tilde,aaltoviiva
aamen,0.562,-0.636,0.084,amen,aamen
aamiainen,0.77,-0.34,-0.142,breakfast,aamiainen
aamu,0.376,-0.53,-0.112,morning,aamu
aamunkoite,0.604,-0.284,-0.052,daybreak,aamunkoite
aamurusko,0.634,-0.388,0.074,aurora,aamurusko
aamutakki,-0.23,0.04,-0.328,negligee,aamutakki
aamuvastaanotto,0.04,-0.352,-0.02,levee,aamuvastaanotto
aarnikotka,-0.164,-0.326,-0.28,griffin,aarnikotka
aarre,0.854,0.184,0.642,treasure,aarre
aarreaitta,0.624,0.082,0.472,treasury,aarreaitta
aasi,-0.188,-0.266,-0.51,donkey,aasi
aasimainen,-0.142,-0.056,-0.134,asinine,aasimainen
aatelismies,0.35,-0.428,0.418,nobleman,aatelismies
aatelisto,0.688,-0.306,0.472,nobility,aatelisto
aateliton,-0.104,-0.27,-0.346,commoner,aateliton
aatto,0.224,-0.244,-0.12,eve,aatto
aave,-0.47,0.51,-0.314,ghost,aave
aavemainen,-0.48,0.528,-0.14,ghostly,aavemainen
aavikko,-0.062,-0.442,-0.222,desert,aavikko
aavistaa,0.166,-0.096,0.044,foresee,aavistaa
aavistus,0.122,0.26,0.134,hunch,aavistus
ablaatio,-0.164,0.0,0.0,ablation,ablaatio
abortti,-0.836,0.54,-0.434,abortion,abortti
