Mikset käyttänyt omaa kuvaasi hamsteria tällä kertaa?	['0.7163', '0.1575', '0.1262']	'negative' with confidence 71.63%
Mitähän nyt Lontoossa taisteltiin!	['0.2855', '0.581', '0.1335']	'neutral' with confidence 58.10%
Loppujen lopuksi kumpikaan parisuhteessa elävistä ei omista kumppaninsa kroppaa joten ei voi myöskään rajoittaa kenen kanssa toinen makaa.	['0.0039', '0.8923', '0.1037']	'neutral' with confidence 89.23%
Kestänee naisillakin aikaa tunnistaa mistä ja kummasta kiikastaa.	['0.0366', '0.5898', '0.3736']	'neutral' with confidence 58.98%
Eikös ne alastonkuvat yms. ole tätä päivää?	['0.1436', '0.8313', '0.0251']	'neutral' with confidence 83.13%
Puhista joskus ne korvas nii eevät kasva sientä.	['0.1156', '0.7862', '0.0982']	'neutral' with confidence 78.62%
Ei vihreät tee edes luonnon eteen mitään.	['0.1147', '0.8406', '0.0447']	'neutral' with confidence 84.06%
"Jeesus sanoi hänelle: ""Älä minuun koske, sillä en minä ole vielä mennyt ylös Isäni tykö; mutta mene minun veljieni tykö ja sano heille, että minä menen ylös, minun Isäni tykö ja teidän Isänne tykö, ja minun Jumalani tykö ja teidän Jumalanne tykö""."	['0.011', '0.2048', '0.7842']	'positive' with confidence 78.42%
Mää katson ulkoovest ulos ja luulen osaavani selittää kaiken.	['0.3354', '0.4906', '0.1741']	'neutral' with confidence 49.06%
Näissä virhevastuuasioissa otetaan huomion kuinka paljon on osalla ajettu ja mikä on osan keskimääräinen kesto.	['0.0007', '0.9472', '0.0521']	'neutral' with confidence 94.72%
Näin päästään liittovaltioon kaikkein helpoimmin.	['0.4036', '0.544', '0.0524']	'neutral' with confidence 54.40%
Silloinhan mikään työ ei kannata enää kun vouti raapaisee osan liksasta.	['0.003', '0.9389', '0.0581']	'neutral' with confidence 93.89%
Jos tuo kaldera purkautuisi täydellä voimalla niin ihmisrodun sukupuutto olisi katkolla.	['0.0018', '0.9326', '0.0655']	'neutral' with confidence 93.26%
Ukrainasta tuotu vehnä on ollut hinnassa 210-212 doll.	['0.0802', '0.857', '0.0628']	'neutral' with confidence 85.70%
Ja oma vika jos astuu koiran paskaan avojaloin.	['0.0408', '0.9109', '0.0483']	'neutral' with confidence 91.09%
Te viherpunikki/viher-femakot olette hölmöjä..hölmöjä.	['0.3888', '0.1126', '0.4985']	'positive' with confidence 49.85%
Ne se on Turu ja Pori seurul asustava käkilaji, joka ääntelee: kui, kui tai täh, täh ja jää sitte nokka auki kuuntelemaa ja pyärittämä päätäs.	['0.0025', '0.0021', '0.9955']	'positive' with confidence 99.55%
Jos maaöljyä kuluu enemmän biotuotteen tekemiseen kuin tekemättä jättämiseen, biotuotetta ei pidä missään nimessä tehdä.	['0.0007', '0.9579', '0.0414']	'neutral' with confidence 95.79%
Mutta myös maasodan massatuotanto vaati suurinvestointeja.	['0.0871', '0.8005', '0.1124']	'neutral' with confidence 80.05%
Sie oot sitte naapurist, sielt Rytinäperält.	['0.0659', '0.7963', '0.1378']	'neutral' with confidence 79.63%
"Ootko sä niin vitun ressukka ""alfamies"" että pitää esittää muille jotain muuta kuin olet ja elää tossun alla"" Saatanan vässykkä lammas."	['0.0034', '0.9085', '0.088']	'neutral' with confidence 90.85%
"""Tutkimuksessa havaittiin, että finasteridilla hoidettavan ryhmän seksuaalitoiminnot heikkenivät."	['0.0443', '0.8742', '0.0815']	'neutral' with confidence 87.42%
Onko lisätty valvontaa?	['0.237', '0.7029', '0.0601']	'neutral' with confidence 70.29%
Tämäkin päivä on Herran päivä :-)	['0.1736', '0.657', '0.1694']	'neutral' with confidence 65.70%
Toivotan Annille jaksamista.	['0.1528', '0.1862', '0.661']	'positive' with confidence 66.10%
Rikkailla jos kellä löytyy maaomaisuutta, kiinteistöjä ja muuta, kosolti enemmän kuin vain palkkatöissä käyviltä henkilöiltä.	['0.001', '0.8934', '0.1057']	'neutral' with confidence 89.34%
Samoin, jos agenteil myynnis, ni en edes harkitse ostavani!	['0.0058', '0.9612', '0.033']	'neutral' with confidence 96.12%
Turistien määrät laskeneet 84%	['0.2779', '0.6479', '0.0742']	'neutral' with confidence 64.79%
Pyrkikää rauhaan kaikkien kanssa; ja pyhitykseen( ELÄMÄN VANHURSKAUS, PYHÄ VAELLUS ), sillä ilman sitä ei kukaan ole näkevä HerraaJHVH( JESHUA );	['0.0097', '0.8173', '0.173']	'neutral' with confidence 81.73%
Ehkä nämä stereotypiat jostakin kumpuavat.	['0.3857', '0.5321', '0.0822']	'neutral' with confidence 53.21%
Neuvostoliitto on maalaisliittolaisten ja erinimisten kepulien isänmaa ja Uusi Itsenäisyyspäivä sitä somasti korostaa.	['0.0013', '0.9132', '0.0855']	'neutral' with confidence 91.32%
"Jos nyt oikeasti olet aikuinen, niin kannattaisiko sitä ""elämää"" etsiä muualta kuin jonkun instasta?"	['0.0006', '0.9616', '0.0378']	'neutral' with confidence 96.16%
Täytyy alkaa suojelemaan poliisin työtä ja teloa häiritsijä narkomaanit.	['0.027', '0.7674', '0.2056']	'neutral' with confidence 76.74%
Olen harrastanut balettia puoli vuotta 10-vuotiaana, mutta lopetin sen syystä jota en nyt jaksa mainita koska se on vähän pidempi juttu.	['0.0459', '0.1213', '0.8328']	'positive' with confidence 83.28%
Edellyttääkö se etta sitten on pakko osallistua psykologiseen keskusteluun ?.	['0.0109', '0.922', '0.0671']	'neutral' with confidence 92.20%
Käytetylle bulkkiromaanille maksimihinta on sen vuoksi kutakuinkin 1 euro.	['0.0171', '0.9225', '0.0604']	'neutral' with confidence 92.25%
Naurettavia nämä muka opinnäytetyöt.	['0.8928', '0.0553', '0.0519']	'negative' with confidence 89.28%
Jokuhan se ateistienkin päähän on saanut sen, että jumalaa ei ole olemassa.	['0.0007', '0.9531', '0.0462']	'neutral' with confidence 95.31%
Ennustukset menevöt perstiilleen joka kerta.	['0.1322', '0.4387', '0.4291']	'neutral' with confidence 43.87%
Ehkäpä he tokenisivat jos ymmärtäisitte heitä niin kuin ymmärrätte pakolaisia?	['0.0282', '0.7122', '0.2595']	'neutral' with confidence 71.22%
Vilkkua on käytettävä.	['0.5127', '0.3418', '0.1455']	'negative' with confidence 51.27%
Hän sanoi myös, että tämän lääkekorvauksen tuotto menee sairaalamaksuihin, kun lääkettä ei enää käytetä rahan puutteen vuoksi.	['0.0009', '0.9404', '0.0586']	'neutral' with confidence 94.04%
Herra paransi paljon sairaita,herätti jopa kuolleita Paavalinkin kautta,mutta hänellä oli taipumus ylpistyä ,joten Jumala antoi hänelle tuon vamman ,että Paavali olisi heikko.	['0.0624', '0.053', '0.8846']	'positive' with confidence 88.46%
Eihän Suomi voinut Neuvostoliiton puolelle mennä koska sen tavoite oli sovjetisoida Suomi.	['0.0021', '0.9537', '0.0442']	'neutral' with confidence 95.37%
Suomessa on paljon ikääntyviä ihmisiä, jotka eivät osaa käyttää internettiä, tai eivät ymmärrä kansainvälisiä kieliä, mitä netissä käytetään.	['0.0008', '0.9725', '0.0267']	'neutral' with confidence 97.25%
"Onko se ""pakko"" ruotsinkielisen identiteettiä?"	['0.222', '0.7322', '0.0459']	'neutral' with confidence 73.22%
Iloisia uutisia - Korkeasti-koulutettujen naisten työttömyys on lisääntynyt huomattavasti Suomessa.	['0.0177', '0.7804', '0.2019']	'neutral' with confidence 78.04%
Nämä vuokrista valittajat ovat juuri niitä, jotka eivät ole koskaan elämässään edes yrittäneet saada mitään aikaan.	['0.0013', '0.8414', '0.1573']	'neutral' with confidence 84.14%
Se mikä pätee miehiin, pätee myös naisiin.	['0.017', '0.9113', '0.0717']	'neutral' with confidence 91.13%
Ei niin kuule kyllä lopu.	['0.3546', '0.5913', '0.0541']	'neutral' with confidence 59.13%
Marginaalit toimivat kuin toimivat valtioiden rajat, joiden välillä on ei kenellekään kuuluva kaistale maata.	['0.0006', '0.9478', '0.0516']	'neutral' with confidence 94.78%
Nuoret JW-tubettajat kertovat omilla kasvoillaan omista ajatuksistaan - sielu lepää ja saatanat jäävät niihin uskovien riesaksi.	['0.0007', '0.9538', '0.0454']	'neutral' with confidence 95.38%
Näin on ja yrittävät laittaa kaiken työttömien syyksi	['0.1936', '0.7658', '0.0406']	'neutral' with confidence 76.58%
Niin se vaan menee.	['0.1993', '0.6211', '0.1796']	'neutral' with confidence 62.11%
Raamattu, Jumalan Sana, vahvistaa:	['0.0605', '0.9098', '0.0297']	'neutral' with confidence 90.98%
Mutta tämmöiseen ajatteluun ei raskaana olevalla naisella ole mahdollisuutta ja syyt haetaan muista henkilöistä .	['0.0008', '0.9401', '0.059']	'neutral' with confidence 94.01%
Rautatien risteysasema antaa liikenteellisesti mahdollisuuksia teollisuuden kasvattamiseen.	['0.0765', '0.8204', '0.1031']	'neutral' with confidence 82.04%
Kuitenkin Raamatun selvän todistuksen mukaan Jeesus oli synnitön:	['0.0095', '0.9697', '0.0208']	'neutral' with confidence 96.97%
Jos kone menee rikki ennen aikojaan niin kyllä koneen korjaukselle maksaja löytyy.	['0.0008', '0.9639', '0.0352']	'neutral' with confidence 96.39%
Lapset ja nuoret pitäisi kuitenkin nyt pelastaa elämälle ja työlle!	['0.005', '0.7274', '0.2676']	'neutral' with confidence 72.74%
Onko vielä tarvetta???	['0.1644', '0.8072', '0.0285']	'neutral' with confidence 80.72%
Vääränlainen avunhuuto.	['0.3465', '0.5001', '0.1535']	'neutral' with confidence 50.01%
Tutkija saa olla oikeistolainen, vasemmistolainen, anarkisti, sitoutumaton tai jotain muuta aivan vapaasti.	['0.0009', '0.8515', '0.1476']	'neutral' with confidence 85.15%
kerroppas kun minä luen Raamatustani mm; se joka uskoo ja kastetaam, pelastuu, ok!	['0.0012', '0.8858', '0.113']	'neutral' with confidence 88.58%
Tienari tottelee toista demaria.	['0.3054', '0.6154', '0.0792']	'neutral' with confidence 61.54%
Kumoat omat väitteesi joka ikisellä kirjoituksellasi, mutta et tietenkään tajua edes sitä, koska olet täysin kyvytön tekemään loogisia päätelmiä.	['0.0042', '0.9048', '0.0909']	'neutral' with confidence 90.48%
aloitukseeni laittaa yhtä ainoata Raamatun paikkaa Jumalan sanasta?	['0.0044', '0.9732', '0.0224']	'neutral' with confidence 97.32%
Lapsia auttavat vielä usein vapaaehtoisia.	['0.6318', '0.2247', '0.1435']	'negative' with confidence 63.18%
Fundamentalistien mielestä muut eivät näe heidän moraalista ylivertaisuuttaan ja erityistä asemaansa.	['0.0029', '0.9684', '0.0287']	'neutral' with confidence 96.84%
Ja niin on mahdollisuus kaikilla muillakin tehdä!	['0.0238', '0.8783', '0.0979']	'neutral' with confidence 87.83%
Minä tunnistan adventistin siitä, että hän ylpeilee olevansa muita viisaampi tulkitessaan Raamattua pastoriltaan oppimalla tavalla.	['0.0015', '0.8606', '0.1379']	'neutral' with confidence 86.06%
Se on kova keskustelemaan itsensä kanssa.	['0.1289', '0.5873', '0.2838']	'neutral' with confidence 58.73%
Mitä merkitystä siviilisäädyllä on jos himot kohtaa?	['0.0404', '0.8727', '0.0869']	'neutral' with confidence 87.27%
Koska ja missä nähään ja pussataan :)	['0.1367', '0.7436', '0.1197']	'neutral' with confidence 74.36%
Pari vuotta ollaan oltuna Caunis Oy:n asiakkaana ja kaikki toimii kuin rasvattu.	['0.0032', '0.5062', '0.4906']	'neutral' with confidence 50.62%
Näet miehen, viisaan omissa silmissään - enemmän on toivoa tyhmästä kuin hänestä.	['0.0112', '0.4147', '0.5742']	'positive' with confidence 57.42%
On nimittäin kokeiltu tuokin, että näihin ruikutuksiin ei ole vastattu mitään, ja saatu aikaan tilanne, missä narsku saa perinpohjaisen raivarin, koska toinen siis vaitiolollaan myöntää, että juu, paska sinä olet, olet oikeassa!	['0.0043', '0.003', '0.9928']	'positive' with confidence 99.28%
Helsingistä.	['0.2105', '0.6627', '0.1269']	'neutral' with confidence 66.27%
Vuonna 2006 järjestö muutti nimensä Irakin islamilaiseksi valtioksi (Isi).	['0.0086', '0.9465', '0.0449']	'neutral' with confidence 94.65%
onneks mä oon merkonomi :)	['0.1615', '0.3038', '0.5347']	'positive' with confidence 53.47%
Minä kysyin Isältä, Herra, onko Sinulla sanaa minulle?	['0.288', '0.2553', '0.4567']	'positive' with confidence 45.67%
Tietokoneetkin käyttävät ihan itse itseään ilman käyttäjää?	['0.0486', '0.8793', '0.0722']	'neutral' with confidence 87.93%
Joona Korteniemi 08/12/2017 17:39	['0.3319', '0.563', '0.1051']	'neutral' with confidence 56.30%
Sellaisesta näennäisitsenäisyydestä on vain harmia.	['0.7821', '0.1621', '0.0558']	'negative' with confidence 78.21%
Eikä tule toista samanlaista vaikka uudelleen yrittäisi.:-).	['0.0925', '0.8776', '0.0299']	'neutral' with confidence 87.76%
Jos kasvu johtuu julkisten menojen kasvusta, niin suunta on huono.	['0.0094', '0.947', '0.0436']	'neutral' with confidence 94.70%
Hieno aski kunnossa ollessaan ja pysyessään!	['0.0204', '0.0306', '0.9489']	'positive' with confidence 94.89%
Tänäänkin kaipaan kainaloa hymyäsi ja ennenkaikkea halaustasi pusuista puhumattakaan.	['0.0122', '0.936', '0.0518']	'neutral' with confidence 93.60%
Satanut koko kesän ja tämä päälle.	['0.32', '0.5665', '0.1134']	'neutral' with confidence 56.65%
Kotikylällä kutsuttiin nappurit kaffeel kun meirä poijaasta tuli HERRA!	['0.0036', '0.9029', '0.0935']	'neutral' with confidence 90.29%
"Ei siinä kuule sen ihmeellisempää ole, valitettavasti."""	['0.556', '0.3906', '0.0534']	'negative' with confidence 55.60%
7. yli 25 v naiset, joilla ei ole lasta, mutta jotka osaavat tyydyttää miehen?	['0.0005', '0.9621', '0.0374']	'neutral' with confidence 96.21%
Tällä hetkellä siitä näyttää tulevan kammottava perintö omille jälkeläisillemme.	['0.0201', '0.8458', '0.1342']	'neutral' with confidence 84.58%
Sit on ihmiset niinku Winston Churchill, George Patton, Nikola Tesla, Elon Musk, Richard Branson, Alan Turing, Steve Jobs, Linus Torvalds tai Albert Einstein, jotka ei katoa kuoltuaan, mutta niitä ihmisiä on varmaan alle 2%, muut on merkityksettömiä.	['0.0085', '0.004', '0.9875']	'positive' with confidence 98.75%
Ei Kuu mitään keikahtele.	['0.3608', '0.5794', '0.0598']	'neutral' with confidence 57.94%
Sielä vasta qsoja saa:) jos ei muuten niin ehkä edes porkkanan kanssa, ne voimasavut tuskin sillä bandilla tänne kuuluu.	['0.0033', '0.9128', '0.0839']	'neutral' with confidence 91.28%
SSD levyistä en tiedä kyllä mitään Elektroniikan vasarointi ei ole ehkä kaikkein fiksuin teko kun kondensaattoreissa voi olla vielä ties miten suuri jännite ja vasara oikosulkee ja rikkoo piirejä ties millaisin seurauksin...	['0.0038', '0.0021', '0.9941']	'positive' with confidence 99.41%
ja lopusta aivotomia virkamiehiämme!	['0.6154', '0.2854', '0.0992']	'negative' with confidence 61.54%
Oikeuskäytännöstä on vedettävissä johtopäätös, että esteellisen tulisi vetäytyä varsin rutiininomaisistakin ratkaisuista ja että esteellisyyden voi aiheuttaa vähäinenkin etu tai haitta.	['0.011', '0.7143', '0.2747']	'neutral' with confidence 71.43%
Ihan näin ton loppunkulutetun ravurin omistajana.	['0.1182', '0.7959', '0.0859']	'neutral' with confidence 79.59%
Ja tätä tulee jatkumaan, kun laukunkantajatkin haluaisi olla herroja.	['0.0077', '0.6559', '0.3364']	'neutral' with confidence 65.59%
Tuo oma vääntösi on nimenomaan poliittinen manifesti, koska vasemmistofeministien (muitahan ei olekaan) on pakko nähdä sukupuolten välistä epätasa-arvoa sielläkin, ja varsinkin siellä, missä sitä ei ole ja olla näkemättä samaa siellä, missä sitä todellisuudessa on (feministien liittoutuminen islamin kanssa).	['0.0068', '0.0099', '0.9833']	'positive' with confidence 98.33%
Olen tavannut kyllä nämä kyseiset vaimokkeet ja itsekin kyllä pelkäisin niitä on siinä semmoset pirttihirmut, että oksat pois.	['0.0054', '0.5695', '0.4252']	'neutral' with confidence 56.95%
Oliko tämä bataattikeittoa?	['0.4947', '0.3974', '0.1079']	'negative' with confidence 49.47%
Harmi ettei edes yhden illan jutuiksi kelpaa,en ole kaunotar vaan suht nätti,en ole hoikka,mutta normaali vartaloinen.	['0.0007', '0.9524', '0.0468']	'neutral' with confidence 95.24%
pyytäisin anteeksi jos unohtaisit ne kukat.	['0.3168', '0.5419', '0.1414']	'neutral' with confidence 54.19%
Ajelin vielä alkukesän vanhalla Johnssonillani, joka vaikkakin oli kaikelle muulle herkkä, ei bensasta piitannut tuohon tapaan.	['0.0012', '0.9403', '0.0585']	'neutral' with confidence 94.03%
KontU uskotteli aikoinaan että tänne tehdään maailman paras ampumahiihdon harjoittelu -ja kilpailukeskus.	['0.0018', '0.6635', '0.3346']	'neutral' with confidence 66.35%
missä paikoissa olet tehnyt	['0.7465', '0.2076', '0.0459']	'negative' with confidence 74.65%
Et taida enää olla työkykyinen, et ainakaan -haluinen.	['0.053', '0.8987', '0.0484']	'neutral' with confidence 89.87%
Tällä tyypillä sen sijaan on fetissi.	['0.3251', '0.5478', '0.1271']	'neutral' with confidence 54.78%
Tosin tuo koko 40 mahtuu, kun painan sen 60 kiloa.	['0.0052', '0.9241', '0.0707']	'neutral' with confidence 92.41%
