Finnish-fi,Valence,Arousal,Dominance,English-en
aakkosellinen,0.074,-0.408,0.07,alphabetical
aakkoset,0.124,-0.592,0.344,alphabet
aallonmurtaja,0.204,-0.04,-0.094,jetty
aallonpituus,0.208,-0.116,0.032,wavelength
aallonpohja,-0.042,-0.274,-0.152,nadir
aalto,0.244,-0.018,-0.02,wave
aaltoileva,0.04,-0.432,-0.31,wavy
aaltoilu,0.0,-0.04,-0.346,rippling
aaltoviiva,0.04,-0.372,-0.358,tilde
aamen,0.562,-0.636,0.084,amen
aamiainen,0.77,-0.34,-0.142,breakfast
aamu,0.376,-0.53,-0.112,morning
aamunkoite,0.604,-0.284,-0.052,daybreak
aamurusko,0.634,-0.388,0.074,aurora
aamutakki,-0.23,0.04,-0.328,negligee
aamuvastaanotto,0.04,-0.352,-0.02,levee
aarnikotka,-0.164,-0.326,-0.28,griffin
aarre,0.854,0.184,0.642,treasure
aarreaitta,0.624,0.082,0.472,treasury
aasi,-0.188,-0.266,-0.51,donkey
aasimainen,-0.142,-0.056,-0.134,asinine
aataminaikainen,-0.16,-0.216,-0.528,antiquated
aatelinen,0.354,-0.52,0.316,titled
aatelismies,0.35,-0.428,0.418,nobleman
aatelisto,0.688,-0.306,0.472,nobility
aateliton,-0.104,-0.27,-0.346,commoner
aatto,0.224,-0.244,-0.12,eve
aave,-0.47,0.51,-0.314,ghost
aavemainen,-0.48,0.528,-0.14,ghostly
aavikko,-0.062,-0.442,-0.222,desert
aavistaa,0.166,-0.096,0.044,foresee
aavistamaton,-0.49,0.428,0.0,unforeseen
aavistus,0.122,0.26,0.134,hunch
ablaatio,-0.164,0.0,0.0,ablation
abortti,-0.836,0.54,-0.434,abortion
absintti,-0.038,0.02,-0.076,absinthe
absoluuttinen,0.052,0.02,0.654,absolute
abstrakti,-0.124,-0.416,-0.112,abstract
abstraktio,-0.062,-0.122,0.05,abstraction
absurdius,-0.77,0.056,-0.546,absurdity
addikti,-0.85,0.392,-0.346,addict
addiktio,-0.64,0.612,-0.16,addiction
adjektiivi,0.14,-0.368,0.138,adjective
adoptio,0.25,0.132,0.178,adoption
